sort_name,source
"Roman, Herschel L.",Unspecified Ingested Source
"Weeks, Harold, 1893-1967",NACO Authority File
"Fabbe, Harry, 1899-1973",NACO Authority File
"Bloom, Jessie S., 1887-1980",Unspecified Ingested Source
"Steele, E. N. (Earl N.)",NACO Authority File [SYNC]
"Sinzheimer, Gerhart Paul Gustav",Unspecified Ingested Source
"Paul, William L. (William Lackey)",Local Sources
"Secord, Bella Kracower",NACO Authority File
"Hannah, Charles L.",Unspecified Ingested Source
"Havin, Henry",Unspecified Ingested Source
"Voorhees, Donald S.",NACO Authority File
"Russak, Harry",Unspecified Ingested Source
"Saunders, Cornelia",Unspecified Ingested Source
"Edmondson, W. T. (Walles Thomas), 1916-2000",NACO Authority File [SYNC]
"Levine, Naomi",NACO Authority File
"Stiefel, Doris J.",NACO Authority File [SYNC]
"Haiman, Lewis",Unspecified Ingested Source
"Hatton, Orin T., 1953-",NACO Authority File
"O'Hara, Patrick",Unspecified Ingested Source
"Spector, Ivar, 1898-",NACO Authority File
"Thompson, Melissa Ann, 1950-",NACO Authority File
"Puechler, Ottilie",Unspecified Ingested Source
"Roberts, W. Milnor (William Milnor), 1810-1881",NACO Authority File [SYNC]
"Watson, Dwight Alvin",Local Sources [SYNC]
"Newberger, Joseph H.",Unspecified Ingested Source
"Reiter, Suzanne W.",Unspecified Ingested Source
"Rakestraw, Lawrence",Unspecified Ingested Source
"Marshin, Carl, 1906-1996",Local Sources
"Mendelsohn, Peter Patrick",NACO Authority File
"Zak, Marian",Unspecified Ingested Source
"Malone, Dorothy, 1908-1997",NACO Authority File
"Walker, Elkanah, 1805-1877",Unspecified Ingested Source
"Lagawier, Arthur, 1901-",Unspecified Ingested Source
"Huber, John Richard",Unspecified Ingested Source
"Markel, Daniel",Unspecified Ingested Source
"Geithmann, Harriet",NACO Authority File
"Miller, Beatrice Diamond, 1919-",NACO Authority File
"Posner, Frances",Unspecified Ingested Source
"Becker, Sol",NACO Authority File
"Parkhurst, Minnie, 1886-1972",NACO Authority File [SYNC]
"Levin, Rose",Unspecified Ingested Source
"Rogers, Millard B.",Unspecified Ingested Source
"Harcourt, Raoul d'",Unspecified Ingested Source
"Newman, David B. (David Benjamin)",Local Sources
"Chance, William W., 1907-1986",Unspecified Ingested Source
"La Mar, Freda",Unspecified Ingested Source
"Chapman, D. G. (Douglas George), 1920-",NACO Authority File
"Levy, Janet",Unspecified Ingested Source
"Burke, Robert E. (Robert Eugene), 1921-1998",NACO Authority File [SYNC]
"Warner, Arthur Churchill, 1864-1943",NACO Authority File [SYNC]
"Youngman, Albert N.",Local Sources [SYNC]
"Dooley, Donald",Unspecified Ingested Source
"Harris, Ira L.",Unspecified Ingested Source
"Resnick, Becky Berman",Unspecified Ingested Source
"Garfias, Robert",Unspecified Ingested Source
"Ulrichs, Hermann F.",NACO Authority File
"Potter, Allen R.",Unspecified Ingested Source
"Angel, Lydia",Unspecified Ingested Source
"Samsel, Gertrude Cunningham",Unspecified Ingested Source
"Hadley, Eleanor M.",NACO Authority File
"Pullen, Daniel D.",Unspecified Ingested Source
"D'Arms, Ted",Unspecified Ingested Source
"Ogden, Daniel M.",Unspecified Ingested Source
"Disque, Brice P., 1879-1960",NACO Authority File [SYNC]
"Blair, John S. (John Sanborn), 1923-1982",NACO Authority File [SYNC]
"Radisson, Pierre Esprit, ca. 1632-1710",Unspecified Ingested Source
"Mead, George W.",Unspecified Ingested Source
"Doty, James",Unspecified Ingested Source
"Day, George E. H.",Unspecified Ingested Source
"Reed, Bob, 1914-2005",Local Sources [SYNC]
"Jassen, Sonia",Unspecified Ingested Source
"Wood, Francis C. (Francis Clark), 1901-",Unspecified Ingested Source
"McCaffrey, Frank, 1894-1985",Unspecified Ingested Source
"Ranck, Glenn N., 1869-",NACO Authority File
"Wolfe, Gertrude Pearl",Unspecified Ingested Source
"Geraghty, James M., 1870-1940",NACO Authority File
"Plotkin, Vladimir, 1949-",Unspecified Ingested Source
"Jones, Mavis Lee",Unspecified Ingested Source
"Stephens, Mary C., 1919-",NACO Authority File [SYNC]
"Huff, Henry P.",NACO Authority File
"Fabianson, Ingrid S.",Local Sources
"Potts, Ralph Bushnell, 1901-",NACO Authority File
"Rochester, Alfred R., 1895-1989",NACO Authority File [SYNC]
"Robbins, Tom",NACO Authority File
"Hill, Naomi Herren",Unspecified Ingested Source
"Kibbee, Lois",Unspecified Ingested Source
"Schoenfeld, Herbert A. (Herbert Alfred), 1874-1933",Unspecified Ingested Source
"Butterworth, Joseph",Unspecified Ingested Source
"Cohen, Annette",Unspecified Ingested Source
"Varon, Ralph",Unspecified Ingested Source
"Polik, Abe",Unspecified Ingested Source
"Hawkins, James Wilbur, 1932-",Local Sources [SYNC]
"Bolton, Jean",Unspecified Ingested Source
"Cross, Virginia",Unspecified Ingested Source
"Lieberman, Irving",NACO Authority File
"Aldrich, Robert A.",NACO Authority File
"Aramaki, Akira",Unspecified Ingested Source
"Mansfield, Reese",Unspecified Ingested Source
"Asberry, Nettie J., 1865-1968",NACO Authority File
"Johns, Newton",Unspecified Ingested Source
"Myers, Florence W.",Local Sources [SYNC]
"Butler, Nicholas Murray, 1862-1947",NACO Authority File
"Wright, George A.",Unspecified Ingested Source
"Thorp, Michael R.",NACO Authority File
"Ensley, Grover W. (Grover William)",Unspecified Ingested Source
"Leavitt, Melbourne L.",Unspecified Ingested Source
"Almskaar, Hulda D.",Unspecified Ingested Source
"Logue, Harold F.",Unspecified Ingested Source
"Funk, Aaron",Unspecified Ingested Source
"Nelson, Marg",NACO Authority File
"Cummings, E .B.",Local Sources [SYNC]
"Gould, Florence Jones",Local Sources
"Swan, John",Unspecified Ingested Source
"Wooster, Warren S. (Warren Scriver), 1921-2008",NACO Authority File [SYNC]
"Pocock, Frances M.",Unspecified Ingested Source
"Naito, Richard Hideo",Unspecified Ingested Source
"Owsley, Marie",Local Sources [SYNC]
"Beck, Robert W. (Robert William), 1896-1968",NACO Authority File [SYNC]
"Capeloto, Mary",Unspecified Ingested Source
"Margolies, Hermine Rosenblatt",Unspecified Ingested Source
"Franck, Joanne",Unspecified Ingested Source
"Koppel, Michael L.",Local Sources
"Rosen, H.",Unspecified Ingested Source
"Zelikovsky, Abe",Unspecified Ingested Source
"Smith, George McPhail, b. 1878",NACO Authority File
"Biehn, Jeanne Ellen Vercoutere",Unspecified Ingested Source
"Lueders, Margaret Louise",Unspecified Ingested Source
"Jurgensen, Elmer V.",Unspecified Ingested Source
"Sylvester, Robert O. (Robert Ohrum), 1914-2011",Unspecified Ingested Source
"Kunde, Norman Frederick",NACO Authority File
"Magden, Ronald",NACO Authority File
"Heywood, Eunice Isabel",Unspecified Ingested Source
"Rodan, Susan Feldman",Unspecified Ingested Source
"Barer, Alan L.",Unspecified Ingested Source
"Rabel, Irvine",Unspecified Ingested Source
"Hill, Warren T.",Local Sources
"Kincaid, Trevor, 1872-1970",NACO Authority File [SYNC]
"Scharhon, Azaria",Unspecified Ingested Source
"Rogers, Albert Luther, 1859-1929",Unspecified Ingested Source
"Irmscher, William F",Unspecified Ingested Source
"Okrent, Richard T.",Unspecified Ingested Source
"Altaras, Albert",Unspecified Ingested Source
"Williston, Frank Goodman, b. 1899",Unspecified Ingested Source
"McGivern, Peter J.",Unspecified Ingested Source
"Carr, Harry L.",NACO Authority File [SYNC]
"Ansell, Julian S., 1922-",NACO Authority File
"Gauld, Charles Anderson, 1911-",NACO Authority File
"Graves, Deanne Marie Hofseth",Unspecified Ingested Source
"Hazel, Steve",Unspecified Ingested Source
"Slipper, John H.",NACO Authority File
"Hewitt, Lucile",Local Sources
"Feinberg, Helen Kosokoff",Unspecified Ingested Source
"Hoffman, Al, 1902-1960",NACO Authority File [SYNC]
"Bly, Robert",Unspecified Ingested Source
"Smet, Pierre-Jean de, 1801-1873",NACO Authority File
"Mink, Art",NACO Authority File
"Anderson, E. W.",Unspecified Ingested Source
"Focke, Anne",Unspecified Ingested Source
"Westcoast, Wanda",Unspecified Ingested Source
"Cross, Tom Peete, 1879-1951",Unspecified Ingested Source
"Silverstein, Fred E., 1942-",Unspecified Ingested Source
"Ferris, Harry R.",Unspecified Ingested Source
"Vasquez, Michael Louis",Unspecified Ingested Source
"Leggett, Glenn H., 1918-2003",Unspecified Ingested Source
"Grout, James, d. 1863",Unspecified Ingested Source
"Jacobsohn, Boris A.",Unspecified Ingested Source
"Chittenden, Hiram Martin, 1858-1917",NACO Authority File [SYNC]
"Tsutakawa, Mayumi",Unspecified Ingested Source
"Rind, Bernice Mosaffer",Unspecified Ingested Source
"Sugarman, Ruby",Unspecified Ingested Source
"Wilson, Leslie E",Unspecified Ingested Source
"Brenner, Itsey",Local Sources
"Evans, Brock, 1937-",NACO Authority File [SYNC]
"Fuson, Morris",Unspecified Ingested Source
"Dixon, William H.",Unspecified Ingested Source
"Hull, Irene B.",Local Sources [SYNC]
"Greene, George Washington, 1811-1883",Unspecified Ingested Source
"Patterson, Ambrose, 1877-1966",NACO Authority File [SYNC]
"Bedal, Edith",Unspecified Ingested Source
"Kingston, Deanna M.",Unspecified Ingested Source
"Henderson, Joseph E. (Joseph Edmonds)",Local Sources
"Hansen, Carl",Unspecified Ingested Source
"Fitzpatrick, Darleen Ann",NACO Authority File
"Dilworth, Hiram Powers",Unspecified Ingested Source
Shibata,Unspecified Ingested Source
"Metcalf, James Thomas",Local Sources [SYNC]
"Foss, Harold",NACO Authority File
"Hauberg, John H. (John Henry), 1916-2002",NACO Authority File [SYNC]
"Pound, Joy Hill",Unspecified Ingested Source
"Madsen, Dagmar",Unspecified Ingested Source
"Cohen, Tina",Unspecified Ingested Source
"Van Trump, Philemon Beecher, 1838-1916",Unspecified Ingested Source
"Bode, Henry Fred",Unspecified Ingested Source
"Curtis, Asahel, 1874-1941",NACO Authority File [SYNC]
"Flight, F.",Unspecified Ingested Source
"Bergman, Abraham B., 1932-",Unspecified Ingested Source
"Di Biase, Linda, 1953-",Local Sources
"Soriano, Louis",Local Sources
"Phillips, William L. (William Louis)",Local Sources
"Dan, Bertha",Unspecified Ingested Source
"Johnson, Leroy V.",Unspecified Ingested Source
"Rabinowitz, Alan",Local Sources
"Carbaugh, Donal A.",NACO Authority File
"Bouchard, Randy",Unspecified Ingested Source
"Condon, John Thomas, 1865-1926",Local Sources
"Abell, Millicent D.",Unspecified Ingested Source
"Varey, Gordon B.",Unspecified Ingested Source
"Halferty, Guy Peter, 1882-1960",NACO Authority File
"Sano, Minna",Unspecified Ingested Source
"Standen, William Arthur",Unspecified Ingested Source
"Quintero, Carolyn",Unspecified Ingested Source
"Haley, Frederick",NACO Authority File [SYNC]
"Leis, George, 1877-1969",Unspecified Ingested Source
"Schwarz, Isidor",Unspecified Ingested Source
"Paulhamus, William H.",Unspecified Ingested Source
"Harris, Jimmy G.",Unspecified Ingested Source
"Roeder, Elizabeth A.",Unspecified Ingested Source
"Wilmans, John MacDonald",Unspecified Ingested Source
"Gordon, Solomon A., b. 1886",NACO Authority File
"Wallace, W. H. (William Henson), 1811-1879",Unspecified Ingested Source
"Keller, Abraham C.",Unspecified Ingested Source
"Tanabe, Barbara J.",Unspecified Ingested Source
"Mercer, Thomas, 1813-1898",Unspecified Ingested Source
"Bailey, Winona",Unspecified Ingested Source
"Waring, George E.",Unspecified Ingested Source
"Haag, Richard",NACO Authority File
"Haller, Uli, 1957-",NACO Authority File
"Morgan, Murray, 1916-2000",Unspecified Ingested Source
"Baksi, Shila",Unspecified Ingested Source
"Raftery, Thomas",Local Sources [SYNC]
"Dehmelt, Hans G.",Local Sources
"Shale, Irene Charley",Unspecified Ingested Source
"Boardman, Elisha",Unspecified Ingested Source
"Van Eaton, Harold D.",NACO Authority File
"Edwards, Harlan Hammond",Unspecified Ingested Source
"Peers, Joseph",Unspecified Ingested Source
"Woffort, Leola",Unspecified Ingested Source
"Moore, Robert E",Unspecified Ingested Source
"Schwartz, Alissa",Local Sources
"Kirk, Peter",NACO Authority File [SYNC]
"Schmitz, Dietrich, 1890-1962",NACO Authority File
"Burke, Thomas, 1849-1925",NACO Authority File [SYNC]
"Nichols, Lynn",Unspecified Ingested Source
"Gerber, Sidney, -1965",NACO Authority File
"Jackson, Elizabeth S.",Unspecified Ingested Source
"Chadwick, Stephen James, 1863-1931",Unspecified Ingested Source
"Whitebrook, Robert Ballard",Unspecified Ingested Source
"Niedfelt, Milton A.",NACO Authority File
"Mauermann, Mary Anne",Unspecified Ingested Source
"Smith, J. Allen (James Allen), 1860-1924",Unspecified Ingested Source
"Woodside, Gordon",Unspecified Ingested Source
"Hayner, Norman S. (Norman Sylvester), 1896-1970",NACO Authority File
"Story, George Burnside",Unspecified Ingested Source
"Hogness, John R.",NACO Authority File
"Smith, Thomas E., 1899-",NACO Authority File
"Bark, Lois Imogene",Unspecified Ingested Source
"Macdonald, Dorothy, 1891-1980",Local Sources [SYNC]
"Park, Edwards Amasa, 1808-1900",Unspecified Ingested Source
"Roston, James A.",NACO Authority File
"Kahan, Isidore",Unspecified Ingested Source
"Lewis, Sol Harris",Unspecified Ingested Source
"Kan, Sergei",Unspecified Ingested Source
"Caughlan, John, 1909-1999",NACO Authority File [SYNC]
"Lundberg, George Andrew, 1895-1966",NACO Authority File
"Barnett, H. G. (Homer Garner), 1906-1985",Unspecified Ingested Source
"Daschbach, John S.",NACO Authority File [SYNC]
"Behm, Franklin F.",Unspecified Ingested Source
"Fleagle, Robert Guthrie, 1918-",NACO Authority File
"Pedersen, Andrew",Unspecified Ingested Source
"Smith, M. Adelaide",Unspecified Ingested Source
"Fay, Robert C., 1820-1872",Local Sources
"Deal, Clyde W.",Local Sources
"Cole, LeRoy",Unspecified Ingested Source
"Foster, Georgia Laberee",Unspecified Ingested Source
"Preston, Howard Hall",NACO Authority File
"Hill, Raymond",Unspecified Ingested Source
"Osawa, Shigeru",Unspecified Ingested Source
"Lynch, Timothy",Unspecified Ingested Source
"Phillips, Nikki Dawn",Unspecified Ingested Source
"Twight, Janet Dana",NACO Authority File
"Kassowitz, Ernst",NACO Authority File
"Larsen, Kirsten",Unspecified Ingested Source
"Storey, Ethel P.",Unspecified Ingested Source
"Zimmerman, Mim",Unspecified Ingested Source
"Gossett, Larry",Local Sources [SYNC]
"Hecht, Irene W. D., 1932-",NACO Authority File
"Bertelson, Ernest B.",NACO Authority File
"Bernstein, Steven J., 1950-",NACO Authority File
"Bringloe, Frances",Unspecified Ingested Source
"Jennings, Arlene Virginia",Unspecified Ingested Source
"Tilley, Erna Spannagel",Unspecified Ingested Source
"Bigelow, Charles A.",Unspecified Ingested Source
"Gundersen, Rolf",Unspecified Ingested Source
"Dunn, John, fl. 1869-1883",NACO Authority File
"Yarbrough, Arline J., 1912-",NACO Authority File
"Koide, Joseph",NACO Authority File
"Farwell, Hollis",Local Sources
"Van Ness, Elmer E.",Local Sources
"Howard, Nora Christopher",Unspecified Ingested Source
"Jones, Fay, 1936-",Unspecified Ingested Source
"McAndrew, Raymond L.",Unspecified Ingested Source
"Burke, Caroline McGilvra",Unspecified Ingested Source
"Canell, Pamela",Unspecified Ingested Source
"Alawi, Abd Allah",Unspecified Ingested Source
"LaMarche, Leni",Unspecified Ingested Source
"Danz, Carolyn Blumenthal",Unspecified Ingested Source
"Bouillon, Erna Dora Meerscheidt",Unspecified Ingested Source
"Kidd, J. A.",Unspecified Ingested Source
"Haykin, Doris L., 1928-1995",Unspecified Ingested Source
"McKaen, Maureen",Unspecified Ingested Source
"Woodbury, Anthony C.",Local Sources
"Olsen, George Carl",Unspecified Ingested Source
"Elkins, Morris",Local Sources [SYNC]
"Hartsuck, Ben",Unspecified Ingested Source
"Edwards, Elizabeth A., 1939-",Unspecified Ingested Source
"Feinberg, Jacob",Unspecified Ingested Source
"Henry, Ed",Unspecified Ingested Source
"Fisher, Edward L., 1930-",Unspecified Ingested Source
"Silver, Shirley",Unspecified Ingested Source
"Matsushita, Iwao, 1892-1979",NACO Authority File [SYNC]
"Demers, Richard A",Unspecified Ingested Source
"Fick, Nellie Mitchell",Local Sources [SYNC]
"McMahon, Edward M.",Unspecified Ingested Source
"Woolfe, Joe L., 1902-1989",Local Sources [SYNC]
"Downing, Alfred",Unspecified Ingested Source
"Brass, Paul R., 1936-",NACO Authority File [SYNC]
"Krems, Nathan",NACO Authority File [SYNC]
"Pifer, Drury Augustus, 1905-",NACO Authority File
"Kirk, Blair",Local Sources
"Knemeyer, Dee",Unspecified Ingested Source
"Frost, Dorothy",Unspecified Ingested Source
"Aliesan, Jody",NACO Authority File [SYNC]
"Richardson, Frank, 1913-",Unspecified Ingested Source
"Benn, Samuel",Unspecified Ingested Source
"Yetman, David, 1941-",Unspecified Ingested Source
"Ward, Leona",Unspecified Ingested Source
"Phillips, Rena Robinson",Unspecified Ingested Source
"Thompson, Lucille Mildred",Unspecified Ingested Source
"Cook, Jimmie Jean",Unspecified Ingested Source
"McGovney, Ardis Woolery",Unspecified Ingested Source
"Kingsbury, Chester H.",NACO Authority File
"Perrin, Porter Gale, 1896-1962",Unspecified Ingested Source
"Samter, Gustav, 1924-2009",Local Sources
"Wernstedt, Lage",Unspecified Ingested Source
"Daniels, Joseph, 1884-1965",NACO Authority File [SYNC]
"Beam, George Wesley, 1831-1866",Local Sources [SYNC]
"Blalock, Nelson Gales, 1836-1913",Unspecified Ingested Source
"Mayer, Melanie J., 1945-",Unspecified Ingested Source
"Poggi, Claudine",Unspecified Ingested Source
"Lighter, Esther",Unspecified Ingested Source
"MacDonald, Kenneth A., 1917-2012",Local Sources
"Smith, Edward",Unspecified Ingested Source
"Hughes, Ellwood Clarke, 1855-1918",NACO Authority File
"Obazawa, Yoshitani",Unspecified Ingested Source
"Hunt, John M.",Unspecified Ingested Source
"Kirkland, Burt P.",Unspecified Ingested Source
"Rosenfield, Joseph",Unspecified Ingested Source
"Munro, Edward",Local Sources [SYNC]
"Peterson, Fred",Unspecified Ingested Source
"Swain, Philip B.",Unspecified Ingested Source
"Edens, Isabel Eldridge",Unspecified Ingested Source
"Goodwin, Terenz",Unspecified Ingested Source
"Johanson, Jean L. P.",Local Sources [SYNC]
"Henry, Francis, 1827-1893",Unspecified Ingested Source
"Alexander, Angeline",Unspecified Ingested Source
"Holmes, Thomas H.",NACO Authority File
"Nielson, Roy",Unspecified Ingested Source
"Steptoe, Edward Jenner, 1816-1865",Unspecified Ingested Source
"Chadwick, Stephen Fowler, 1894-1975",Unspecified Ingested Source
"Newberger, Meyer",Unspecified Ingested Source
"Balch, Albert S.",NACO Authority File
"Bird, John L.",Unspecified Ingested Source
"Thomason, Thomas",Unspecified Ingested Source
"Goodspeed, George Edward, b. 1887",NACO Authority File
"Krebs, Edwin G.",NACO Authority File [SYNC]
"Lev, Daniel S.",NACO Authority File
"Massenet, Jules, 1842-1912",Unspecified Ingested Source
"Broderick, Freda Markow",Unspecified Ingested Source
"Aldwell, Thomas T., 1868-1954",NACO Authority File
"Lawson, Irwin",Unspecified Ingested Source
"Lufkin, Francis B., 1914-1998",Unspecified Ingested Source
"Jensen, Everett J.",Unspecified Ingested Source
"Joseph, Frida Stark",Unspecified Ingested Source
"Verkler, Jerry T., 1932-",Unspecified Ingested Source
"Marshall, Nell ""Timmie"" Timonen",Unspecified Ingested Source
"Osseward, John, d. 1984",NACO Authority File
"Lucas, Ann Davenport",Local Sources
"Moore, W. D. (William D.)",Unspecified Ingested Source
"Norris, E. L.",Unspecified Ingested Source
"Ribe, Fred L.",NACO Authority File [SYNC]
"Clark, E. T.",Unspecified Ingested Source
"Iseri, George",Unspecified Ingested Source
"Bruckart, John Ray, 1887-1979",Unspecified Ingested Source
"Hunter, Lila",Unspecified Ingested Source
"Robinson, Jerome Benjamin",Unspecified Ingested Source
"Aeschliman, Ralph",Unspecified Ingested Source
"Gorrie, Jack Osborne, 1911-",NACO Authority File
"Raybourn, Carole A.",Unspecified Ingested Source
"Jorgensen, Betty Marie",Unspecified Ingested Source
"Heller, Amos Arthur, 1867-1944",NACO Authority File
"Carpenter, Edward L",Unspecified Ingested Source
"Smail, John",NACO Authority File
"Ban, Noemi",Unspecified Ingested Source
"Menashe, Matilda",Unspecified Ingested Source
"Grashin, Barbara",Unspecified Ingested Source
"Cooke, Mary",Unspecified Ingested Source
"Smith, Margaret Bayard, 1778-1844",Unspecified Ingested Source
"Altose, Sophie",Local Sources
"Roston, James A.",Unspecified Ingested Source
"Hong, Anna Maria",Unspecified Ingested Source
"King, Albert A.",Unspecified Ingested Source
"Berro, Rosa Scharhon",Unspecified Ingested Source
"Charley, Freda Strom",Unspecified Ingested Source
"Ronald, James Theodore, 1855-",Unspecified Ingested Source
"Courtade, C. J.",Unspecified Ingested Source
"Strayer, George E.",Unspecified Ingested Source
"Pracna, Arthur B.",NACO Authority File [SYNC]
"Anderson, Charles",Unspecified Ingested Source
"Carmichael, Daniel C.",Unspecified Ingested Source
"Nelson, Emma Ginsberg",Unspecified Ingested Source
"Walker, Harriet K., 1893-1984",Unspecified Ingested Source
"Offer, Therese, 1894-",Local Sources
"Miyamoto, Shotaro Frank, 1912-2012",NACO Authority File [SYNC]
"Nelson, Gerald B.",Unspecified Ingested Source
"Ashley, Paul P., 1896-1979",NACO Authority File [SYNC]
"Cooke, Charles P.",Unspecified Ingested Source
"Fleury, Alfred J.",Local Sources
"Block, Robert J. (Robert Jackson), 1922-",NACO Authority File
"Milligan, Don",Unspecified Ingested Source
"Bryan, Edgar",Unspecified Ingested Source
"Siegal, Arthur, 1919-2014",Local Sources [SYNC]
"Evanson, Ella C.",NACO Authority File [SYNC]
"Matsen, Iva L.",Unspecified Ingested Source
"De Jaen, Lilly, 1929-",Unspecified Ingested Source
"Owen, Gifford P.",Unspecified Ingested Source
"Sakura, Howard Shigeru",Unspecified Ingested Source
"Friedman, Louis A.",Unspecified Ingested Source
"Paulik, Gerald John, 1931-1972",NACO Authority File
"Heck, Edith",Unspecified Ingested Source
"Silleck, William",Unspecified Ingested Source
"McLean, Walter G.",NACO Authority File
"Brynteson, John",Unspecified Ingested Source
"Harrington, Donal",Unspecified Ingested Source
"Robinson, Esther",Unspecified Ingested Source
"Horn, Lois Logan, 1923-",Unspecified Ingested Source
"Moulton, Ralph Wells, 1912-",Unspecified Ingested Source
"Grodstein, S. (Samuel)",Local Sources
"Frayn, Robert Mort",Unspecified Ingested Source
"Schulze, Paul, fl. 1889-1894",NACO Authority File
"Lindeberg, Lytle",Unspecified Ingested Source
"McLeod, John",Unspecified Ingested Source
"Hotson, J. W., 1870-",Local Sources
"Sugar, Peter F.",Unspecified Ingested Source
"Wick, Peter D.",Unspecified Ingested Source
"Waller, Alvan F., b. 1808",Unspecified Ingested Source
"Turner, Dorothy Mae",Unspecified Ingested Source
"Johnson, Helen Snyder",Unspecified Ingested Source
"Elkan, Rose",Unspecified Ingested Source
"Gessner, Suzanne",Unspecified Ingested Source
"Wheeler, Eleanor",NACO Authority File
"Butcher, Jeffrey Lee, 1951-1997",Local Sources
"Adams, Mary E.",Unspecified Ingested Source
"Towne, Vernon W. (Vernon West), 1910-",NACO Authority File
"Norelius, Eric, 1833-1916",Unspecified Ingested Source
"Pickering, William T., 1798-1873",NACO Authority File
"Timpe, Joyce",Unspecified Ingested Source
"Parker, Hubbard George",Local Sources
"Phillips, W. S. (Walter Shelley), 1867-1940",Unspecified Ingested Source
"Strong, Ruth Maria, 1862-1903",Unspecified Ingested Source
"Shiff, Murray",NACO Authority File
"Drake, Laura Ann",Local Sources
"Bengtson, Betty G.",NACO Authority File
"Utterback, Clinton",Unspecified Ingested Source
"Whitlock, Katholeen",Local Sources
"Moore, Bernice Starr, 1903-",Unspecified Ingested Source
"Schwabacher, Emilie B.",Unspecified Ingested Source
"Powell, J. V.",Unspecified Ingested Source
"Silverberg, Darby N.",Unspecified Ingested Source
"Barr, J. C",Unspecified Ingested Source
"Stern, Edward F.",Unspecified Ingested Source
"Hidaka, Heizo",Unspecified Ingested Source
"Short, William M.",NACO Authority File
"Aoki, Mary",Unspecified Ingested Source
"Sobel, Joanne",Unspecified Ingested Source
"Magnusson, Gudrun Lindal",Unspecified Ingested Source
"Selig, Manfred",Unspecified Ingested Source
"Hamersly, Thomas H. S.",Unspecified Ingested Source
"Matsuoka, James M.",NACO Authority File [SYNC]
"Carney, Ruth Johnson",Unspecified Ingested Source
"Bergamini, Rita",Unspecified Ingested Source
"Stevens, Thomas Wood, 1880-1942",Unspecified Ingested Source
"Cooper, Carl, 1875-1962",NACO Authority File
"Prunet, Jean-Fran̤ois",Unspecified Ingested Source
"Pierce, Frank Richardson, 1887-1966",Unspecified Ingested Source
"Gutmann, Addis",Local Sources [SYNC]
"Allen, John Beard, 1845-1903",NACO Authority File
"Stub, Hans Andreas",Unspecified Ingested Source
"Hill, Tim, 1936-",NACO Authority File
"Sondland, Harry",Unspecified Ingested Source
"Hanson, Howard Arthur, 1876-1957",Unspecified Ingested Source
"Schaukal, Richard von, 1874-1942",Unspecified Ingested Source
"Buck, George",Unspecified Ingested Source
"Dash, J. G., 1923-",NACO Authority File [SYNC]
"Tatsumi, Henry Saburo",Unspecified Ingested Source
"Friedman, Esther",Unspecified Ingested Source
"Katz, Max",Unspecified Ingested Source
"Schwabacher, Morton L. (Morton Leo)",NACO Authority File
"Huggins, Edward, 1832-1907",NACO Authority File
"Feinberg, Hyman",Unspecified Ingested Source
"Giddens, Zilpha Keys",Unspecified Ingested Source
"Vinson, Robert C.",NACO Authority File
"Joseph, Stephen",Local Sources
"Simpson, William, fl. 1882-1885",NACO Authority File
"Schuddakopf, Margaret Jean",Unspecified Ingested Source
"Carco, Francis, 1886-1958",Unspecified Ingested Source
"Degenhardt, Stella",Unspecified Ingested Source
"Payne, Ancil H.",Local Sources
"Dale, David C.",Unspecified Ingested Source
"Mackenzie, Don",Local Sources
"Rupp, James M.",NACO Authority File
"Strong, Dexter K.",NACO Authority File
"Warner, Vincent W.",Local Sources
"Ross, Nancy Wilson, 1901-1986",NACO Authority File
"Bottomly, Forbes",NACO Authority File
"Brown, Donald G.",NACO Authority File
"Russell, Bertrand, 1872-1970",Unspecified Ingested Source
"Clary, Midge",Local Sources
"Fay, Alice Isabel",Local Sources
"Fay, Alice Ober",Local Sources
"Fay, Temple",NACO Authority File
"Fay, Winthrop",Local Sources
"Gould, Aubrey",Local Sources
"Gould, John Van Wyck",Local Sources
"Gustin, Paul M.",Unspecified Ingested Source
"Limerick, Mary",Local Sources
"Ober, Marion K.",Local Sources
"Padelford, Jessie E. (Jessie Elizabeth)",Local Sources
"Seig, Lee Paul, 1879-1963",Unspecified Ingested Source
"York, Muriel Gould",Local Sources
"Amarillo, Ignacio",Local Sources
"Molina, Felipe",Local Sources
"Arai, Thomas Fumiya, 1902-1966",Local Sources
"Dolan, Charles W. (Charles William), 1943-",NACO Authority File
"Sealy, Dennis G.",Unspecified Ingested Source
"Little, Herbert S. (Herbert Satterthwaite), 1902-1972",NACO Authority File
"Cowles, William Barnum, 1855-",Unspecified Ingested Source
"Grant, Frederic James",NACO Authority File
"Falls, Gregory A.",Unspecified Ingested Source
"Brenner, Abe",Unspecified Ingested Source
"Mosler, Samuel",Unspecified Ingested Source
"Winn, Karyl, 1942-",Unspecified Ingested Source
"Hazzard, William R., 1936-",NACO Authority File
"Ochs, Hans D., 1936-",NACO Authority File
"McFee, Henry Lee, 1886-1953",NACO Authority File
"Paul, Frederick",Local Sources
"Backus, LeRoy M., 1880?-1948",Unspecified Ingested Source
"Klukken, Mikal",Unspecified Ingested Source
"Elshin, Jacob",Unspecified Ingested Source
"Harris, Lucille",Local Sources
"Roosevelt, Theodore, 1858-1919",NACO Authority File
"Anches, Irving",Unspecified Ingested Source
"Nelson, Albert",Unspecified Ingested Source
"Altabet, Rachel, 1906-1997",Local Sources
"Nelson, Ibsen",Unspecified Ingested Source
