origination_name	Qid	unittitle	bioghist	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20	Column 21
"Duggan, Robert D., 1932-"		Robert Duggan papers	"Robert D. Duggan, known to all as ""Bob"" was born in Seattle, Washington on September 7, 1932. Bob graduated from Foster High School in 1950 and immediately enrolled at University of Washington summer program. He also started work on the Seattle waterfront in August 1950. His longshore employment paid all the costs of his college education and later a large portion of his law school education. He graduated with a BA in Labor Economics in June of 1954. In December 1954 he was called to active duty with the United States Air Force. In February 1956 he was awarded his ""wings"" as a jet fighter pilot. In December 1955 he married Martha H."" Marty"" Duggan (1934-2003), the mother of his 3 children, In September 1958, he entered the University of Washington School of Law, graduating 1961. In September 1961, he began what turned out to be 40 years of law practice, representing longshoremen, harbor workers, seaman and fishermen. He also represented all ILWU locals in Washington over that 40 year span. In 1989-90 while serving as president of the University of Washington Alumni Association, he began to promote the idea of establishing an endowed chair in honor of Harry Bridges. He was instrumental in raising the funds to establish the chair in 1992. Bob married Judith Turner Duggan on December 17, 2006."																		
"Durham, Heidi"		Heidi Durham papers and oral history interviews	"Heidi Durham (1953-2015) was a participant in Seattle City Light's Electrical Trades Trainee (ETT) Program in the early 1970s, and was one of the first women to be admitted to an apprenticeship program in City Light's skilled trades. When the City eliminated the Electrical Trades Trainee Program punitively for the activism of the programs director and the participants, Durham was one of the plaintiffs in a civil rights complaint which restored the program's participants ability to get skilled craft training and continued employment.

Heidi Durham was born and raised in San Pedro, California in 1954, and moved to Bellingham, Washington in 1971 to attend Western Washington University. She moved to Seattle in 1973 and joined Radical Women, a socialist feminist organization led by Clara Fraser.

Durham began working in the food service industry. In 1974, Fraser was tasked with creating a recruitment and training program for female electrical workers at Seattle City Light, the Electrical Trades Trainee (ETT). Durham was recruited in a competitive application process and, at 21, became the youngest of the 10-member ETT program. As one of three Radical Women members among the group, Durham played a leading role in the struggle for gender and race equity at the utility, where she co-founded the Employee Committee for Equal Rights at City Light (CERCLE) in 1983, and in her union, International Brotherhood of Electrical Workers, Local 77.

Following a landmark verdict on behalf of the women in January of 1976, Durham became one of the first women admitted to City Light’s Line Worker apprenticeship program.

Durham worked on the line crews until suffering a broken back in a near-fatal fall from the top of an electrical pole in 1977. Durham was partially paralyzed but fought to continue working in the field, returning to City Light as a Junior Power Station Operator. When she retired in 2004, she held the title of Senior Power Station Operator.

Through her longtime leadership in Radical Women and the Freedom Socialist Party, Durham participated in various political causes. In 1984, Durham co-founded the Ad Hoc Committee for Fair Employment and Open Housing, which successfully organized community support to defend and strengthen Seattle anti-discrimination laws.

Durham was also a writer. In 1982, she wrote The War on the Disabled: Adding Insult to Injury and co-authored Women Workers: Sparkplugs of Labor with Megan Cornish in 1990.

In 1991, Durham campaigned for City Council on the Freedom Socialist Party ticket. That same year, she was named Active Advocate of the Year, along with fellow ETT pioneer Megan Cornish, by Washington Women in the Trades. In 2004, Durham was a member of the Seattle Organizing Committee for the Million Worker March on Washington, D.C. and was a featured speaker at the event. Durham died in August of 2015 at the age of 62.

Biography Sources:

Belew, Ellie. 2019. High voltage women: breaking barriers at Seattle City Light. Seattle: Red Letter Press (Forthcoming: March 2019)

Grant, Nicole. “Heidi Durham: Electrical Trades Trainee (ETT) Program, Seattle City Light” Seattle Civil Rights & Labor History Project. https://depts.washington.edu/civilr/durham.htm

Grant, Nicole. “Challenging Sexism at City Light: The Electrical Trades Trainee Program” Seattle Civil Rights & Labor History Project. http://depts.washington.edu/civilr/citylight.htm (Data accessed January 2018).

https://socialism.com/fs-article/farewell-to-heidi-durham-revolutionary-feminist-and-fighter-for-the-oppressed/ Seattle Times https://www.legacy.com/obituaries/seattletimes/obituary.aspx?n=heidi-durham&pid=175821675

Related Resources:

Casey, Conor. “How Minority Men and Tradeswomen Won Justice on the Jobsite.” Lecture, Museum of History and Industry History Café, Seattle, February 21, 2018. https://tinyurl.com/JusticeJobsite

Casey, Conor “Justice on the Jobsite: Collections on Labor Organizing of Minority Men and Tradeswomen at the University of Washington Libraries' Labor Archives of Washington and Special Collections"" Pacific Northwest Quarterly. Summer 2018 Issue.

Belew, Ellie. 2013. Bringing power to the people: the history of IBEW Local #77."																		
"Elkins, Morris"		Morris Elkins papers																			
"Everett Education Association (Everett, Wash.)"		Everett Education Association records																			
"Eyer, John H.,  -1986"		John H. Eyer papers	"Professional:

John H. Eyer (1906-1986) was an organizer, international representative and training specialist based in Portland, Oregon, for the International Brotherhood of Pulp, Sulphite and Paper Mill Workers (IBPSandPMW) from about 1951-1964. Eyer became training specialist in 1956 which emerged into a permanent position as Representative of the International’s West Coast Research and Education Department in 1957, traveling frequently to locals across the West Coast. Part of this work also included the performance of job analyses, evaluating wages and contracts of locals within the union. At this time, he became a confidant of Research and Education head, George W. Brooks, who figured prominently in the internal campaign for reform, and whose forced resignation in 1961 precipitated the formation of the Rank and File Movement for Democratic Action (RFMDA). An organization created by dissatisfied members of the International, the RFMDA had participation from members of paper worker locals across the United States and even parts of Canada. This reform movement was the catalyst for the formation of new union, the Association of Western Pulp and Paper Workers (AWPPW) in 1964. Along with many members in favor of the reform, John Eyer moved over to the rebel union, AWPPW, becoming an International Representative and chairing its Job Analysis Program. He also served as General Vice President of the AWPPW in the late 1960s. In addition to union involvement, he was also active in the City Club of Portland and served on the Executive Boards of the American Civil Liberties Union of Oregon and the World Without War Council of Portland.

Personal:

John Howard Eyer was born August 28, 1906 to Mildred Neal and Wilson Eyer. John also had an older brother named Lowell. In June 1930, he married Alice Meisel. John and Alice gave birth to daughter Janet Helen Eyer, who later gave birth to his granddaughter, Susan. Alice Eyer passed away in 1969. John Eyer married again sometime in the 1970s to Rosa Millo, Recording Secretary of AWPPW Local 644 in Everett, Washington and Secretary-Treasurer of the AWPPW Northern Washington and Alaska Area Council. John Eyer passed away in 1986."																		
"Eyer, Rosa M., 1910-1997"		Rosa M. Eyer papers	"Rosa Millo Eyer (1910-1991) was Recording Secretary of the Association of Western Pulp and Paper Workers (AWPPW) Local 644 in Everett, Washington in 1965 and AWPPW Secretary-Treasurer of the Northern Washington and Alaska Area Council during the 1960s and 1970s. She gave birth to three daughters: Gerry, Josephine, and Caroline with first husband Richard J. Millo. She later married Pacific Northwest paper worker representative John H. Eyer around the mid to late 1960s. Rosa retired from the union in 1972. She passed away in Everett, Washington at the age of 81 on November 10, 1991."																		
Familias Unidas por la Justicia		Familias Unidas por la Justicia records and ephemera	"Familias Unidas por la Justicia (FUJ), is farmworker union comprised of Mixteco and Triqui families. In 2015, FUJ affiliated with the Washington State Labor Council, AFL-CIO."																		
"Farmers' Union (Walla Walla, Washington Territory)"		Farmers' Union records	Agricultural association.																		
"Flynn, Leo F., 1885-"		Leo F. Flynn papers	"Leo Francis Flynn (1885-1970) was born in Waseca County, Minnesota. He was President of the Washington State Council of United Brotherhood of Carpenters and Joiners of America and an organizer for the American Federation of Labor from 1938-1956. He was married to Myra L. Flynn."																		
"Fox, Michael J. (Michael James), 1944-"		Michael Fox papers	"Judge Michael James Fox was born in New London, Connecticut in 1944. During the 1960s, he became politically active in the Civil Rights Movement. While attending law school in Georgia, Fox was part of the Legal Aid Society—an organization that provided legal services to people from low-income backgrounds. After law school, his experience with the Legal Aid Society greatly influenced his decision to continue to help underrepresented people. Having also acquired Spanish speaking skills, Fox became interested in working with the large population of Spansih-speaking Latino/a farmworkers. In 1965, the US Congress created the Office of Economic Opportunity which funded the Legal Services Program, a private non-profit corporation providing legal services to people living in poverty. In that same year, a strike of Filipino American grape pickers in Delano, California gained the cooperation of Cesar Chavez and others, who began organizing migrant agricultural workers in California. Using the same organizing model, workers in Washington State organized an independent branch of the United Farm Workers of Washington State in 1967. In 1969, Fox moved to Washington through the Reginald Heber Smith Fellowship, a program that places lawyers in areas to help those who do not have access to legal aid, and discovered that the state had the fourth largest migrant farmworker population in the country. In the following year, the wildcat hop strikes began in the Yakima Valley. Fox connected with the organizers of the hop strikes, Tomás Villanueva and Lupe Gamboa, and offered to provide legal representation to the emerging farmworkers union. As the UFW lawyer, Fox in"																		
"Frank, Dana"		Dana Frank ephemera collection on Seattle labor and women's activism	"Dana Frank is a professor of history at the University of California, Santa Cruz. Frank used the University of Washington's Special Collections in researching her book Purchasing Power. Frank is also an expert on human rights and U.S. policy in Honduras."																		
Clara Fraser	Q5125986	Clara Fraser papers	"Clara Fraser was born Clara Doris Goodman in Los Angeles on March 12, 1923 to Russian-Jewish immigrant parents, Samuel and Emma Goodman. Her father was an anarchist and her mother worked in the garment industry. She grew up in a multi-racial neighborhood, the East Side ghetto of Los Angeles, which Fraser described as a very poor, but highly political environment. While in junior high school in the 1930s, Clara joined the Young People’s Socialist League, prompted by the despair of the Great Depression. In 1939 to 1945, Fraser attended UCLA and graduated with degrees in literature, education, and drama. She then joined the Trotskyist Socialist Workers Party in 1945. After marrying at the age of 18, she and her first husband, Frank Krasnowsky, moved to Chicago. They then moved to Seattle to organize a Socialist Workers Party during the post-war era. Working as an assembly line electrician at Boeing, Fraser participated in the Boeing Strike of 1948. During the 1950s and 1960s, Fraser was very active in labor socialist politics. She worked vigorously to end racial segregation and the Vietnam War. She also supported women’s rights. In 1966 when the Seattle branch of the Socialist Workers Party left the organization, Fraser helped form the Freedom Socialist Party. Fraser and other feminists began a Free University of Seattle class titled ""Marx and the Women's Question"" which was the beginning of the Women's Studies Program at the University of Washington. Soon after, she joined the original Seattle Opportunities Industrialization Center (SOIC) and CEP, the job training arms of the anti-poverty program. She became a consultant on feminism and race relations for many public agencies. In 1967, Fraser, along with Gloria Martin and the young women of the New Left, founded Radical Women. Radical Women worked with and supported African American anti-poverty programs, Native American fishing rights, and Asian American protests for low-income housing.

After being fired from SOIC, Seattle City Light hired Fraser in 1973 as an education coordinator of the Electrical Trades Trainee Program for women. On July 11, 1975, Seattle City Light fired her, claiming that her dismissal was due to budgetary cuts. The Seattle Department of Human Rights, directed under Vivian L. Caver, a black woman civil rights and political activist, found that Fraser was discriminated because of her public affiliation with the Feminist Coordinating Council, Radical Women, and the Freedom Socialist Party. When the workers of Seattle City Light rose up against Superintendent Gordon Vickery, director of the agency, in 1974, Fraser was the leading critic and spokesperson for the massive employee walkout. She then became involved with a recall campaign against Mayor Wes Uhlman.

A legendary case not only in Seattle but across the nation, Fraser garnered broad support from local and national labor, feminist, gay, and labor unions, women’s groups, the LGBT community, and minority groups including the Black Panther Party chapters in Los Angeles and Seattle, the Native American Rights Advocate, and the Asian Law Association. In 1981, the court ruled in favor of Fraser, upholding protection for employees against sex and political discrimination. Seattle City Light was ordered to award her $135,265.00 in back pay, damages, and interests, reinstatement of her retirement account, social security contributions, and restoration of sick leave, dental and vacation benefits.

Fraser died on February 24, 1998 in Seattle, Washington."																		
Freedom Socialist Party	Q4411098	Freedom Socialist Party National Office (Seattle) records	"The Freedom Socialist party is a revolutionary socialist feminist organization that does intersectional organizing against racism, sexism, homophobia, and labor exploitation. The FSP's political analysis sees women's leadership and political action as decisive to social change and trains women to lead in these campaigns. The immediate forerunner of the Freedom Socialist Party began with the Kirk-Kaye tendency within the Socialist Workers Party, led by Dick Fraser (Kirk) and Clara Fraser (Kaye) who were married at the time. The Kirk-Kaye tendency had a distinct analysis on civil rights, derived from the theory of ""revolutionary integrationism,"" and took a more sympathetic towards China as a worker's state than the SWP.

The Freedom Socialist Party was founded in 1966, and had a differing analysis from the SWP's on black nationalist views of Malcolm X and the SWP's orientation toward the labor leaders rather than rank and file workers, and its relationships to the anti-Vietnam War movement, and its dismissive attitude toward the emerging feminist movement. The FSP advocated class solidarity between black and white workers, centered their revolutionary analysis around women's emancipation, and urged the anti-war movement to support the socialist, anti-colonial aims of the Vietnamese Revolution. FSP leaders Clara Fraser (1923–1998) and Gloria Martin (1916–1995) built on the socialist analysis of women's oppression to create a Leninist party that is ""socialist-feminist"" in ideology and practice. The party views the liberation struggles of women, people of color and sexual minorities (such as gay people) as intrinsic to working-class revolt, and it looks to these specially-oppressed sectors of society to provide revolutionary leadership. Women comprise a predominant part of the party leadership. Overall, membership is diverse and is composed of all genders and races. The party characterizes its National Comrades of Color Caucus as offering the party's diverse ranks of people of color an opportunity to work together as a team to grow as leaders and provide direction for the party's work in people of color movements.

The party has branches in a number of U.S. cities, as well as one in Melbourne, Australia. The Freedom Socialist newspaper is produced six times a year. Red Letter Press publishes books and pamphlets for the party. The FSP is affiliated with Radical Women, which is an autonomous socialist feminist organization. [Source: https://en.wikipedia.org/wiki/Freedom_Socialist_Party]"																		
"Freese, James (Labor organizer)"		James Freese papers	"James ""Jim"" Freese was an organizer for the International Brotherhood of Electrical Workers, Local 46 organizing program aimed at recruiting underrepresented communities. Freese was involved in a Local 46 election on the proposal in 1986 on whether members would fund the campaign at the rate of 25 cents per hour per member. The proposal passed 69% to 31%."																		
"Friedheim, Robert L."		Robert Friedheim Seattle General Strike Collection	"Born in 1934, Robert L. Friedheim is the author of"																		
"Gallacci, John"		John Gallacci papers	"John David Gallacci (1901-1982) was a charter member of the International Longhoremen's Association, Local 38-86 (Port Angeles, Washington). Gallacci served as Secretary Treasurer before retiring and took a withdrawal in 1952. Gallacci participated in the maritime strikes of 1934 and 1936-1937, and eventually became Secretary-Treasurer of Local 38-86."																		
"George, Earl, 1894-1985"		Earl George papers and photographs	"Earl George (1894-1985) of the International Longshore and Warehouse Union, Local 9 (Seattle) dedicated his life to tireless work on behalf of the ILWU and progressive causes, most passionately in the struggle to end racial discrimination.

George was born in Denver in 1894. He once said that “growing up Black in this country gives you a pretty good political education.” Early on, the struggles of Denver’s Black community and the violent Colorado miners’ strikes shaped his thinking. George studied math and chemistry at the University of Denver before being drafted into the segregated Army in 1917 and sent to Fort Lewis in the Puget Sound. George arrived in time to participate in the Seattle General Strike of 1919. Sixty-five thousand workers in Seattle walked out in solidarity with 35,000 shipyard workers who were immersed in a struggle for wage increases. The action shut down the entire city.

Like other African Americans, George was excluded from many jobs as well as many unions. In the 1920s and 1930s, he worked in a number of low paid, non-unionized jobs in the service sector, peppered with periods of unemployment. He found work as a steward aboard coastwise vessels, where he joined the Industrial Workers of the World, a militant labor union founded in 1905 which rallied under the banner, “An injury to one is an injury to all.”

When the Great Depression hit in 1929, George marched in Seattle’s streets with the Unemployed Citizens League and the Workers’ Alliance, an organization which fought to get collective bargaining rights for people working on Federal projects. He also helped build the Washington Commonwealth Federation and the Washington Pension Union, whose influence in Washington State politics helped pass the state’s first pension bill in 1939. George joined ILWU Local 9 as a warehouseman in 1938. While working as a warehouseman, he continued to dedicate himself to ending discrimination and bettering the lives of workers

In 1948, he worked on a campaign that succeeded in forcing Seattle-area grocery stores to hire African Americans. A dedicated ILWU member, he participated in the 1948 Pacific Coast Strike, and in 1950 became the first black president of Local 9. While serving in local office, George and then ILWU Regional Director Bill Chester (later ILWU International Vice President) were among a number of African American unionists who helped found the National Negro Labor Council (NNLC). A powerful but short-lived labor organization, the NNLC focused its goals on ending racial discrimination in industry and racism in unions. They campaigned to get unions to organize black workers and were successful in getting a number of unions to call for non-discrimination clauses in their labor contracts. Earl George was a survivor of racism and also a strong combatant against it. Like many labor activists of his time, he also faced bitter red baiting

Along with ILWU President Harry Bridges and other members of the union, George was scapegoated for his political views. In the early 1950s, former Communist Party member Barbara Hartle testified at the Velde Committee hearings, part of the House Un-American Activities Committee, and named Earl and his wife Vivian along with over 200 other possible members of the Communist Party.

Earl himself was subpoenaed to appear before the committee to answer whether he was a Party member. He recalled that “the committee was so self-righteous. They were going to save the world from dangerous folks like me. What did I have to say to them? I took the Fifth Amendment and walked out.” Earl George was a friend to legendary performer, political progressive, civil rights activist, and honorary ILWU member Paul Robeson. In 1952, the Seattle City Council barred Robeson from performing at the Civic Auditorium. George came to his aid, organizing protests in Robeson’s support.

He took similar action when the US State Department revoked Robeson’s passport, preventing him from touring outside the US because of his political beliefs. Lonnie Nelson, a longtime Seattle- area activist and member of ILWU Auxiliary #3 who was close to George, stated that he “was one of the people in the ILWU who represented a wide understanding of life and industry. He was a working class intellectual.”

George remained with Local 9 until 1961, when he retired from work. However, retirement did not mean an end to his commitment to the ILWU and labor and civil rights activism. As soon as he left the active workforce, George became a committed and active member of the Seattle Pensioners Association, where he variously served as Trustee, Secretary, and Secretary-Treasurer.

George was integral in organizing freedom schools during the school boycott to protest segregation in 1966. He also became a well-known photographer, chronicling union picket lines, demonstrations, and rallies for social justice through his camera’s lens. The ILWU International appointed him as a correspondent/photographer for the Dispatcher, and a number of his images appeared in the paper in the 1970s and 1980s. In an interview taken shortly before his death, George stated that “for ninety years I’ve been outraged by injustice wherever it rears its ugly head. All the movements I’ve been part of had one important goal: a little more bread, slightly thicker broth, and a bigger piece of the pie for everyone.”

(Source: ILWU Dispatcher ""Earl George, Civil Rights crusader from ILWU Local 9"" http://www.ilwu.org/a-bigger-piece-of-the-pie-for-everyone-earl-george-civil-rights-crusader-from-ilwu-local-9)"																		
"Gibson, Harold J., 1913-1984"		Harold J. Gibson papers	"Harold J. Gibson was an important leader in the history of the International Association of Machinists, and an influential figure in labor politics, both in the Pacific Northwest and nationally. Born in Idaho in 1913, he moved to Washington State as a child, eventually graduating from Lake Washington High School in Kirkland, WA in 1931. After graduation, Gibson joined the Army for a time before beginning work at Boeing in 1936. In 1941, he was elected a Business Representative of his local District Lodge 751, and in 1943, a short two years later, he was elected District President, a position he would hold for the next 13 years. During World War II, Gibson reenlisted, taking a leave of absence from his post to serve as a sergeant in Patton’s Third Army. In his tenure after the war, he led a successful strike in 1948, ended government freezes on aircraft workers’ wages, helped the district win its first all-inclusive health and welfare plan, and significantly increased union membership. In 1956, Gibson was elected to nationwide office as a General Vice President of the International Association of Machinists, and held the position through the mid-1960s. Gibson was influential not only as a labor leader, but as a political figure as well. He was well connected with longtime state Senators Warren Magnuson and Henry ""Scoop"" Jackson, Governor Al Rosellini, and Bill Boeing. He was an active participant in the Democratic Party, and sat on many committees and commissions. Harold Gibson passed away in 1984 at the age of 71."																		
"Gilman, Herman"		Herman Gilman collection on farmworker organizing in Washington state	"Herman Gilman is a labor activist, union member, and officer who has worked as an organizer for the American Federation of State, Municipal, and County Employees (AFSCME), volunteered with Jobs with Justice, and serves as a member of the King County Central Labor Council."																		
"Gorman, Robert, 1953 February 11-"		"Robert ""Bob"" Gorman papers"	"Gorman was a shop steward for the International Brotherhood of Electrical Workers, Local 46--a maritime electrician's union."																		
"Graphic Communications International Union. Local 767M (Seattle, Wash.)"		"Graphic Communications International Union, Local 767M records"	"Labor organization of the printing industry began as early as 1836, with the first meeting of the National Typographical Society, later renamed the International Typographical Union (ITU) in Washington, D.C. However, it wasn’t until the late 1800s that mechanization transformed the printing industry into a full-scale trade with craft specialization. Newspaper printing and commercial printing became distinct trades. By the turn of the century several separate printing unions had emerged or seceded from the ITU, including the International Printing Pressmen Union of North America (IPPU) in 1897 and the Amalgamated Lithographers of America (ALA) in 1915. Union membership flourished in the first half of the 20th century, and the unions were able to operate alone. As union membership declined in the later half of century, a series of mergers occurred. The International Printing and Graphic Communications Union (IPGCU) resulted in 1973 from the merger of the IPPU and the International Stereotypers’ and Electroplaters’ Union (IS&EU). In 1983, the IPGCU merged with the Graphic Arts International Union (GAIU) to form the Graphic Communications International Union (GCIU). In 2005, the GCIU decided to merge with the 1.1 million member Teamster union.

The first printing union in Seattle was the International Brotherhood of Bookbinders (IBB) in 1900. Seven years later, the Seattle Web Printing Pressmen & Assistants’s Union No. 26 was formed. In 1963, Local No. 26 merged with five other Washington printers’ unions to create the Washington state Joint Crafts Council. GCIU branch 767-M was the result of the 1985 merger of PH & PPU Local 50, GCIU Local 26N and GCIU Local 530M. In 1996, GCIU Local 292-M of Portland, Oregon merged with GCIU 767-M. Additionally, between 2002 and 2003, GCIU branches in Bremerton (367-M), Olympia (182-C) and Aberdeen (262-C) merged with Local 767-M, further strengthening the Seattle branch. In 2005, 767-M merged with the Teamster Union. 767-M still exists today."																		
Rosalinda Guillen	Q100153037	Guide to the Rosalinda Guillén and Joseph Moore papers	"Rosalinda Guillén was born in Texas, grew up in Mexico, and moved to Washington State with her family at age 10 in 1960, working as part of the migrant farm labor community in the northwest for much of the next decade. She then worked at Skagit State Bank for 16 years, but quit only four years before she was eligible to retire in order to organize farm labor for the United Farm Workers of America (UFW).

Guillén's training as a community organizer came from being recruited by the Rainbow Coalition to mobilize support in Washington State for Reverend Jesse Jackson’s 1988 presidential campaign. It was through that work that she learned about farm workers who were organizing at Chateau Ste. Michelle, Washington’s largest winery, and got so involved that she became one of the campaign’s lead organizers. From from Fall of 1993 to December 5, 1995, she ran the grassroots worker organizing campaign, which resulted in the first union contract for farm workers in Washington state.

Following that victory, Guillén went on to serve in a number of high-level UFW organizing jobs, including the coordinator of a strawberry-picker organizing drive in California's Salinas Valley, and the national organization's Northwest Regional Director, Policy Director, Executive Board Member, and finally National Vice-President. Following her work for the UFW, she served as the Executive Director of La Unión del Pueblo Entero (LUPE), a non-profit organization founded by Cesar Chavez.

Currently, Guillén serves as the Affirmative Action Chair of the Whatcom County Democrats, and is the co-founder of and Executive Director for Community to Community Development (C2C), a “a place-based, grassroots organization committed to creating alliances in order to strengthen local and global movements towards social, economic and environmental justice” in Bellingham, Washington.

[Rosalinda Guillén nació en Texas y creció en México. A los 10 años en el año 1960, se mudó al estado de Washington con su familia, donde trabajaba como parte de la comunidad de trabajadores agrícolas migrantes en el noroeste por mucha de la próxima década. Luego trabajó para Skagit State Bank por 16 años, dejando ese trabajo sólo 4 años antes de que fuera elegible para retirarse para organizar trabajadores agrícolas con United Farm Workers of America (UFW).

Guillén fue reclutada y entrenada como organizadora comunitaria por Rainbow Coalition para movilizar soporte en el estado de Washington para la campaña presidencial del Reverendo Jesse Jackson en 1988. Fue por ese trabajo que aprendió Guillén de los trabajadores agrícolas quienes estaban organizando en Chateau Ste. Michelle, la bodega de vinos mas grande en Washington. Llegó a involucrarse tanto que llegó a ser una organizadora principal de la campaña. Desde el otoño 1993 hasta el 5 de diciembre 1995, ella manejo la campaña de organizar el base de trabajadores que resultó en el primer contrato para trabajadores agrícolas en el estado de Washington.

Siguiendo esa victoria, Guillén pasó a servir en varios trabajos de alto nivel con UFW, incluyendo como coordinadora del empujo para organizar recolectores de fresas en el Valle de Salinas en California, Directora Regional del Noroeste al nivel nacional, Directora de Póliza, Miembra de la Junta Ejecutiva, y finalmente como Vicepresidente Nacional. Siguiendo su trabajo con UFW, ella sirvió como Directora Ejecutiva de La Unión del Pueblo Entero (LUPE), una organización sin fines de lucro fundado por Cesar Chavez.

Ahora Guillén sirve como Presidente de Acción Afirmativa de los Democratas de Whatcom County y es la Co-Fundadora y Directora Ejecutiva de Community to Community Development (C2C), una “organización de base local comprometido a crear alianzas para fortalecer los movimientos locales y globales hacia justicia social, económica y ambiental” en Bellingham, Washington.]"																		
"Gundlach, Jean"		Jean Gundlach papers	"For thirty years Jean Gundlach served as administrative assistant of the International Longshore and Warehouse Union Coast Committee, working closely with ILWU President Harry Bridges.

Gundlach was born in Missouri and moved to Seattle in the 1940s. In 1946 she began work as secretary of the Committee for Maritime Unity, and later worked for the United Fisherman and Allied Workers of America (UFAWA). When the UFAWA merged with the ILWU in the 1960s, Gundlach went to work for the ILWU and Harry Bridges.

Throughout her life, Gundlach was devoted to progressive causes, working with migrant farm workers in the 1950s and even leading a walkout at the ILWU when Bridges and other officers treated staff unfairly. In the 1990s Gundlach was instrumental in obtaining a formal apology from the University of Washington to the victims of the Canwell Committee trials. In 1992 she had a major role in the creation of the Harry Bridges Chair in Labor Studies, and in 2008 was awarded the Harry Bridges Center for Labor Studies’ Robert Duggan Distinguished Supporter of Labor Studies Award. Jean Gundlach passed away December 11, 2009."																		
"Gurtiza, Richard"		Richard Gurtiza collection on Asian Pacific American Labor Alliance	"Richard Gurtiza is a Filipino American labor union activist and union officer originally from Wapato, Washington. Gurtiza is president of Region 37, Inlandboatman's Union of the Pacific, the marine division of the International Longshre and Warehouse Union. The union represents Alaska cannery workers, who from the 1930s onwards were largely Filipino Americans and Asian Americans. Gurtiza became a member of Local 37 in 1977 and became Regional Director of the IBU 1993.

Gurtiza was born in the small farming community of Wapato, Washington in the 1950s. Gurtiza was a founder of the local chapter of the Asian Pacific American Labor Alliance (APALA), an American Federation of Labor-Congress of Industrial Organizations constituency organization for Asian American and Pacific Islander labor union members. Gurtiza was also on the national Executive Board of APALA

In the late 1970s, Gurtiza was part of a rank and file reform movement of activist Local 37 cannery workers to reform the union and fight for better working conditions. Gurtiza worked with Silme Domingo and Gene Viernes—the leaders of the Alaska Cannery Workers Association—to build the reform movement. After Domingo and Viernes were murdered in 1981, Gurtiza and other reformers won leadership positions and transformed Local 37.

Gurtiza remains active in the IBU/ILWU, the King County Labor Council, and the Washington State Labor Council."																		
"Hammer, George, 1950-"		George Hammer papers	"George Hammer was a lineworker for Seattle City Light who, when working as apprenticeship coordinator, developed improvements to City Light training programs in the the early 1980s. Hammer had spent almost two years getting reconstructive surgery after a 1978 accident that caused severe burns to his hands. He then had to fight to regain a skilled job with City Light. Hammer eventually went into the Safety Department, and then became secretary to the apprenticeship committee. By 1981, Hammer had been assigned to come up with specific recommendations for City Light's apprenticeship program. He researched and developed apprenticeship training methods that overcame some of the biases common in training methods in effect at the time, and which had the effect of making it extremely difficult for women to qualify. These methods were later adopted by the utility."																		
University of Washington Harry Bridges Center for Labor Studies	Q99514413	Harry Bridges Center for Labor Studies Union Charters collection	"The Harry Bridges Center for Labor Studies is jointly housed in the departments of Political Science and History at the University of Washington. The Center honors the late Harry Bridges, one of the preeminent labor leaders in the U.S. Supporting research, teaching, and community outreach, the Center focuses on labor's contribution to society, and develops labor studies, broadly conceived to include working men and women everywhere, as a central concern in higher education."																		
"Hatten, Barry, 1917-2008"		C. T. (Barry) Hatten papers	"Canterbury Theodore ""Barry"" Hatten was born August 24, 1917, in Indiana, and grew up in Alaska, where his missionary parents ran an orphanage. Despite a childhood case of tuberculosis of the bone in one leg that prevented him from enlisting in World War II, he was a longshoreman in Alaska and San Francisco and worked on the railroad in Alaska. He studied at DePauw University in Indiana and the University of Washington, and practiced union, civil rights, and criminal law for 50 years before retirement. Barry Hatten died on August 17, 2008, aged 90. He longshored and worked on the railroad in Alaska in spite of the bad leg. After he received his law degree, he practiced union, civil rights, criminal and poor people's law. During the McCarthy loyalty hearings he defended professors being fired by the University of Washington. His brother-in-law Ralph Gundlach was one of them. He longshored in San Francisco during WWII and later in the fifties. [wsba.org] Barry was married first to Jean Gundlach; then to Louise Seifert with whom he had two sons, John Barry and Charles Theodore; then to Mary Telford Gibson with whom he lived more than forty years. [Island Sounds 2008]"																		
"Hopkinson, E. William, 1875-1956"		Microfilm of E. William Hopkinson papers	"Edwin William Hopkinson (1875-1956) was born in Iola, Kansas. He was a labor activist, farmer, chicken rancher, and chairman of Communist Party of Pierce County, Washington as well as the timber expert of the Autonomous Industrial Colony in Kuznetsk Basin, Kemerovo, Siberia (it was a mining operation). He was a member of the Industrial Workers of the World, and closely associated with the Unemployed Citizens Council of Pierce County, with the Washington Pension Union, and leftist movements. His wife Mary (Bartels) Hopkinson was also an activist in labor movements, especially the Washington Pension Union."																		
(No origination name found.)		Mary and E. William Hopkinson papers																			
"Hopkinson, Mary, 1880-1970"		Mary Hopkinson papers	"Mary Hopkinson (1880-1970) was born Maria Amelia Bartels in Hamburg, Germany. She came to the United States before the turn of the 20th century and married Edwin William Hopkinson in 1903. Mary Hopkinson was heavily involved in the labor movement and was a founding member of the Washington Pension Union."																		
