id_0,name,collection,note
2014-005,"AMIT Women. Avivah Chapter (Seattle, Wash.)","Mizrachi Women's Organization of America, Avivah Chapter (Seattle, Wash.) records",[Biographical Historical Note Needed]
0071-001,"Chadwick, Stephen James, 1863-1931",Stephen J. Chadwick papers,[Biographical Historical Note Needed]
1900-005,"Pelly, Thomas M. (Thomas Minor), 1902-1973",Thomas M. Pelly campaign ephemera,[Biographical Historical Note Needed]
1729-003,Washington Environmental Council,Washington Environmental Council records,"The Washington Environmental Council (WEC) was founded in 1967 as an umbrella organization by and for the state of Washington's leading conservation groups. Through its mission \""to protect, restore, and sustain Washington's environment for all,\"" the organization has served as a coordinating body on issues of statewide significance. Among other achievements, the WEC has worked to enforce and pass the State Environmental Policy Act, the State Superfund Law, the Growth Management Act, and the Shoreline Management Act. It also operates the Environmental Priorities Coalition and the Voter Education Program. Throughout its history, the organization has also focused on other issues related to carbon pollution, clean energy, water pollution, forests, and public lands.Â¶ In 1986 and 1987, the WEC was heavily involved with the Timber, Fish, and Wildlife Implementation Project, which was the result of negotiations between the timber industry, the four natural resource agencies in Washington State, Indian tribes, and environmentalists. The Project is a cooperative plan for managing forest harvest practices on both state and private timberlands. Marcy Golde was involved with the negotiations, while Lisa Lombardy served as the WEC's statewide coordinator. Other WEC staff, through private funding, monitored timber harvest applications.Â¶ Another major legal case in which the WEC was involved concerned Washington State rules that imposed requirements on the design, equipment, reporting, and operations of oil tankers. Washington State, with the help of the WEC, defeated the trade association Intertanko, which represented operators of oil tanker ships. In 2000, however, the U.S. Supreme Court reversed the decision on the basis that federal law pre-empts state rules. Â¶ "
1766-001,"Edwards, Myrtle",Myrtle Edwards papers,"Myrtle Edwards was born in 1894, and studied music as a young women. She studied music at the University of Illinois, where she earned her Bachelor's degree, the American College of Music, and the Illinois College of Music. She became a voice teacher at the American Conservatory of Music in Chicago, where she met and married Harlan H. Edwards, a civil engineer and the son of the founding family of the American Conservation of Music, in 1918. Â¶ The couple moved to Seattle in the early 1940s after living in Illinois and California and had two children. In Seattle, Myrtle became involved in the Seattle and Washington State League of Women Voters, serving as president of both, and the Seattle Council of Churches, where she was a member of the executive board. She was also active in the Municipal League, the American Association of University Women, Business and Professional Women, the Boy Scouts, and the Camp Fire Girls. She and Harlan were also members of the Audubon Society and the Sierra Club. In 1964, Seattle Beautiful Inc. named her Citizen of the Year, for her tireless work with the organization, which promoted public parks, boulevard plantings, and programs that enhanced neighborhood beautification.Â¶ Once their youngest child was in college, Myrtle went back to school at the University of Washington to get her degree in political science, and got into politics. In 1955, she was appointed to the Seattle City Council and elected a year later. She later served as president of the City Council. In each of her election when the council was still elected at large, she received the most votes, and, during the 1964 election, she received more votes than any other council candidate had ever received. Â¶ She was very committed to parks and green spaces and worked to make these spaces an integral part of the city. She was also a strong supporter of the arts, and was most proud of the remodeled Opera House and the various theaters on its campus. Myrtle Edwards died unexpectedly due to injuries sustained in a car accident in 1969. To honor her legacy, the former Elliot Bay Park was renamed Myrtle Edwards Park. The park was a former dumping ground for construction and industrial projects, and was transformed into a waterfront park overlooking Puget Sound, which were the kinds of project she supported throughout her career.Â¶ Â¶ "
1867-001,"Preston, Howard Hall",Howard Hall Preston papers,[Biographical Historical Note Needed]
00-040,University of Washington. Educational Outreach. Vice Provost,"University of Washington, Vice Provost for Educational Outreach records",[Biographical Historical Note Needed]
,"Szatmary, David P., 1951-",,
1791-001,"Lindblom, Roy Eric, 1898-1961",Roy Lindblom papers,"Professor of electrical engineering, University of Washington.Â¶ Roy Eric Lindblom was born 1898, and died 1961."
1892-001,Seattle Talmud Torah Hebrew School,Seattle Talmud Torah Hebrew School records,[Biographical Historical Note Needed]
1838-013,Mountaineers (Society). Climbing Committee,Mountaineers Climbing Committee records,"Outdoor recreation and conservation club.Â¶ The Mountaineers was founded in Seattle, Washington in 1906. The first president was Edmund S. Meany. Standing committees were appointed at that first meeting of the club to take over the work and organization of the two main activities, the local and annual outings. The number of standing committees grew with the increasing membership and interests of the club. Mountain climbing has been one of the major interests. In 1935 climbing classes were organized to teach the fundamentals of Mountaineering. The Mountaineers were the first organized group to develop skiing in the Northwest. There are branches in Tacoma, Everett, and Olympia. The Climbing Committee was one of the early standing committees."
19-027,University of Washington Bothell. Office of Academic Affairs,"University of Washington, Bothell Office of Academic Affairs records","The Office of Academic Affairs (OAA) provides leadership and guidance for all components of UWB's academic mission. The Office coordinates academic programs and administrative structures; and it oversees development and implementation of academic policies and procedures. The OAA is headed by the Vice Chancellor for Academic Affairs, who collaborates closely with UWB's Chancellor and the General Faculty Organization (GFO). A strong tradition of shared governance connects the Office of Academic Affairs with the GFO.Â¶ The UWB academic leadership team includes the Vice Chancellor for Academic Affairs, the five academic program directors, the GFO chair and vice-chair, the associate dean for academic planning, and the two associate vice chancellors, the director of Student Affairs and the director of Library and Academic Services. This team meets regularly as the Academic Council, which serves as a forum for presenting, discussing, and shaping a wide range of academic policies, procedures, and new initiatives.Â¶ The Office of Academic Affairs also plays a central role in communicating with UWB's partners and external constituents. In numerous ways, it develops and reinforces connections between UW Bothell's academic programs, the community colleges, and the surrounding communities."
01-076,University of Washington. Capital Projects Office. Construction Office. South Campus Construction Office,"University of Washington, Capital Projects Office, Construction Office, South Campus Construction Office records / University of Washington, Capital Projects Office, Construction Office, South Campus Construction Office records","One of three divisions within the Capital Projects Office, the Construction Office provides contract administration for public works construction programs including contract preparation, notice to proceed, jobsite administration, closeout, acceptance, physical plant turnover and one-year warranty review. The Capital Projects Office provides a project management for construction, remodeling and renovation of University facilities, including oversight of programming, feasibility studies, design and budget preparation under the Assistant Vice President for Capital Projects.Â¶ The Capital Projects Office was created on 15 March 1994, when the University of Washington Facility Management Office was split into two parts: the University of Washington Capital Projects Office which included the Construction Office and the South Campus Construction Office; and the University of Washington Physical Plant Department. Further restructuring in 1996 placed the Physical Plant Department under the direction of a new entity, the University of Washington Facility Services Office."
1870-016,"Nostrand, Howard Lee, 1910-2004",Howard L. Nostrand papers,"Professor of Romance languages, University of Washington.Â¶ Howard Lee Nostrand was born 1910. He taught in the Department of Romance Languages, and was chair of the department at University of Washington. Nostrand also served as cultural attache in Lima, Peru, 1944-1947. He was involved in a court case, Nostrand vs. Balmer, 1959, challenging loyalty oaths then required of University of Washington faculty. His professional associations included American Association of Teachers of French, American Civil Liberties Union of Washington, Modern Language Association of America, National Commission on Teacher Education and Professional Standards, National Education Association, Washington State Superintendent of Public Instruction."
01-044,University of Washington. School of Medicine. Associate Dean for Research and Graduate Education,"University of Washington, School of Medicine, Associate Dean for Research and Graduate Education records",[Biographical Historical Note Needed]
2017061501,,DISPERSAL RECORD (16 photographs of Seattle and Everett),
1944-006,"Winn, Norman L., 1939-",Norman L. Winn papers,"Lawyer and conservationist of Seattle, Washington."
01-090,University of Washington. President,"University of Washington, President records",[Biographical Historical Note Needed]
1999-001,Rudo L. Fromme,Rudo Fromme memoir [xerox],"Rudo Lorenzo Fromme (1882-1973) worked for the National Forest Service in Washington, Oregon and Idaho, for 37 years. He was a Forest Service Superintendent in the Olympic National Forest from 1911-1926. Fromme was born July 10, 1882, in Saint Paris, Ohio, to Frank W. and Stella L. (neÃ© Riker) Fromme. He attended Purdue University and Ohio State University. He earned a Master's Degree from the Yale School of Forestry in 1906 and married Ruby Ellen Gowanlock on May 20, 1908. Fromme worked in forestry in Idaho, California, Oregon, and Washington, with the majority of his career in the Olympic National Forest, Washington. Fromme retired from the Forest Service in 1943 and embarked on a new career, doing make-up for stage performances in Pomona, Claremont, and LaVerne, California, until his second retirement in 1965. In 1932 Fromme married Eleanor Louise Banks and the couple lived in Maple Valley, Washington. Fromme died in a nursing home on August 19, 1973 and is buried in Mountain Crest Memorial Park in Enumclaw, Washington. Mount Fromme, near Mount Claywood and Mount Sentinel, was named in 1920 by a mountaineering party for Superintendent Fromme. Â¶ "
1898-001,"Haig, Emily H., 1890-1978",Emily Haig papers,"Civic leader and conservationist of Seattle, Washinton.Â¶ Emily Haig was born in 1890, and died in 1978. Ms. Haid was active in conservation activities from 1912 (when she first joined the Sierra Club) until the early 1970's. Past president of the Washington Congress of Parents and Teachers, 1934-1938; president Seattle Audubon Society, 1952-1956; Chairman, Wildlife Committee, Washington Environmental Council; and active in the establishment of state and local parks (Olympic, Rainier, North Cascades, Glacier Peak, etc.)."
01-012,University of Washington. Libraries. University Archives and Manuscripts Division,"University of Washington, Libraries, University Archives and Manuscripts Division records",[Biographical Historical Note Needed]
1802-001,"Brockman, C. Frank (Christian Frank), 1902-1985",C. Frank Brockman papers,"Park naturalist and professor of forestry, University of Washington.Â¶ C. Frank Brockman was born 1902. Park naturalist at Mount Rainier National Park, 1929-1941; and Yosemite National Park,1941-1946. From 1946 to 1967 he was a professor in the College of Forest Resources at the University of Washington. Brockman specialties were dendrology and the recreational use of natural areas. His published works included \""Flora of Mt. Rainier National Park,\"" 1948; \""Recreational Use of Wild Lands,\"" first edition, 1959 and second edition, 1973;\""Trees of North America,\"" 1968. He was a member of the Society of American Foresters and served on the editorial boark of the Journal of Forestry. Professor Brockman served on the state Olympic National Advisory Board on Historical Sites. In 1961 he visited Africa as an advisor on recreational land management problems as part of the Cultural Exchange Program Program of the U.S. Department of State."
00-127,University of Washington. Budget Office,"University of Washington, Budget Office records",[Biographical Historical Note Needed]
1944-020,"Winn, Norman L., 1939-",Norman L. Winn papers,"Lawyer and conservationist of Seattle, Washington."
0006-001,Forest History Society,Forest History Society interviews / Forest History Society records,[Biographical Historical Note Needed]
1776-019,"Evans, Brock, 1937-",Oral history interview with Brock Evans,"Brock Evans' career as a leader in the environmental movement began in the mid-1960's. He has held prominent positions in numerous environmental organizations. Evans represents the branch of the movement that believes in achieving environmental goals by changing government policy through political give and take, litigation, and legislative lobbying. Â¶ Evans served as the Northwest representative of the Sierra Club and of the Federation of Western Outdoor Clubs from 1967 to 1973, as acting director and director of the Washington D.C. office of the Sierra Club from 1973 to 1981, and as vice president for national issues for the National Audubon Society from 1981 to 1996. Evans also was the Audubon representative to the Ancient Forest Alliance circa 1988 to 1994. He also served on the board of a number of other environmental organizations, including the League of Conservation Voters and the Environmental Law Institute and the North Cascades Conservation Council. Most recently he has served as President of the Endangered Species Coalition Â¶ Born in 1937 in Columbus, Ohio, Evans earned his B.A. from Princeton in 1959. He spent two years in the U.S. Marine Corps and then earned his law degree at the University of Michigan while serving in the reserve of the Army Corps of Engineers. In 1963 Evans moved to Seattle and worked in a private law practice until his career changed course in the late 1960's. In 1966 while hiking in one of his favorite areas Evans encountered signs indicating that the ancient trees there were about to be logged. Infuriated by the impending loss of this forest, he left his private law practice and dedicated himself full-time to fighting environmental destruction. Â¶ Within very little time, Evans established himself as one of the leading environmentalists in the Pacific Northwest. From 1967 to 1973 he was the Northwest Representative for the Sierra Club and represented the Audubon Society through the Federation of Western Outdoor Clubs. As the Sierra Club Representative, he also was a co-founder of the Washington Environmental Council in 1968. During this time He became heavily active in state and regional environmental issues during this time. He organized citizen support and was the primary lobbyist in Washington State during the final crucial years when legislation was being formulated to establish North Cascades National Park. He led efforts to ensure that key parcels were included in the Pasayten and Glacier Peak Wilderness areas. His efforts led to renewed strength for campaigns to gain wilderness protection for the Alpine Lakes and other unprotected regions in the Cascades. In 1972 he received the Environmentalist of the Year award from the Washington Environmental Council. Â¶ In 1973, Evans moved into the national arena when he was named Director of the Sierra Club's Washington, D.C. office. In this position he lobbied Congress as well as administrative agencies, state and local governments, and other organizations on a wide range of environmental issues. Preserving Hell's Canyon was one of the major issues during his time at the Sierra Club. Private and public utility companies had wanted to dam this 100 mile stretch of Idaho's Snake River for over two decades, but had been unable to do so because of disputes about who would build and control the dam. In the 1970's, these energy interests came together and appeared able and willing to cooperate enough to undertake the project, but Evans set a historic precedent by filing the first environmental lawsuit in the Northwest against the dams. Then he, along with other environmentalists, successfully lobbied for federal legislation in 1975 that prevented any dam construction, legislation that Evans drafted himself. Â¶ During his time with the Sierra Club, Evans continued to gain a higher profile and a reputation as an outstanding lobbyist and leader. In 1977, U.S. News and World Report named him one of the most influential lobbyists in Washington, D.C., as did Fortune in 1982, showing not only his own strength, but the lobbying strength and legitimacy that environmentalists had gained. During this time he also served on the Environmental Advisory Board of the Army Corps of Engineers. Â¶ In 1981, Evans became the National Audubon Society's Vice-President for National Issues where he remained until 1996. During his career with the Audubon Society, the preservation of old growth forests in the Pacific Northwest was a major focus for Evans, as it had been throughout his career as an environmental advocate. Evans feared that timber companies were logging old growth forests too quickly and that the nation's ancient forests would soon be gone if nothing were changed. He believed that the ancient forest ecosystem could not be preserved by clear cutting patches of trees, as the Forest Service allowed timber companies to do. Â¶ Many of Evans's efforts to save ancient forests involved lobbying Congress, which had the power to change Forest Service policies and increase or limit logging in specific areas. In the mid 1980's, Evans and the Audubon Society directed much of their lobbying efforts toward Congressional appropriations committees, but met with only limited success. Evans and the Audubon Society then changed their strategy and teamed up with other environmental organizations to form the Ancient Forest Alliance. One of the coalition's new strategies involved focusing on the enforcement of existing laws to preserve forests, and the spotted owl soon became a central component of this strategy. The number of spotted owls was declining significantly because of logging in old growth forests. Environmentalists and biologists believed that the spotted owl was a \""management indicator species\"" and that its fortune was an indicator of the entire group of species in the old growth forests. For people such as Evans, the demise of this animal bolstered their belief in the importance of preserving the ancient forest ecosystem, but the owl's demise also gave them a new opportunity to prevent future logging. Because of the federal Endangered Species Act, which mandated the preservation of ecosystems that supported endangered species, classifying the owl as endangered would prevent logging in areas where they existed. However, the U.S. Fish and Wildlife Service was reluctant to list the owl as endangered, which Evans and others alleged was a result of timber industry influence and not because of scientific research. Because of environmentalists' litigious efforts, the federal courts in 1990 forced the Fish and Wildlife Service to list the spotted owl as \""threatened\"" and issued an injunction forbidding further habitatae destruction. These decisions were major victories for environmentalists and ended logging in many areas of ancient forests where spotted owls were believed to live. Â¶ Despite this victory, political battles over ancient forests continued between environmentalists and logging interests. Evans and others tried to press for more protected areas while logging interests tried to portray environmentalists as people who cared more about spotted owls than about loggers and the communities that depended on the timber industry. In 1993, the newly elected president Bill Clinton called a forest summit in Portland, Oregon to try to find compromise between logging interest and environmentalists. As a leader of one of the largest environmental organizations, Evans participated in the summit. Â¶ Another major issue for Evans during his time with the Audubon Society was the preservation of the Arctic National Wildlife Refuge (ANWR), located along the northern coast of Alaska. In the late 1980's, oil interest believed that there might be huge oil reserves in the Refuge but needed special legislation to open it to drilling. In 1989, a bill to allow drilling in the ANWR was about to pass through Congress when it suddenly was shelved because of the anti-oil backlash after the Exxon Valdez oil spill. Nonetheless, legislation to open the refuge continued to surface in the early 1990's, but Evans, along with other environmentalists, was able to block its passage through Congress. After 1992, bills to open the refuge did pass through Congress on more than one occasion, but with President Clinton sure to veto such legislation, Evans and other environmentalists gave the issue less attention. Â¶ Throughout most of his environmental career, Evans took a pragmatic approach to conservation and at times received harsh criticism from those who said he was willing to compromise. This tension was often evident between local grassroots organizations, including chapters of the Audubon Society, and D.C.-based groups such as the Sierra Club and Audubon offices that Evans helped guide. However, on at least on occasion, Evans took a militant stance when he, along with a former U.S. Representative, Jim Jontz, and other environmental activists, was arrested in 1995 for blocking a logging road in Oregon's Siskiyou National Forest. Evans was protesting what was known as the \""Salvage Rider\"" that allowed tree cutting but had passed into law only because it was attached to an important piece of unrelated legislation. Â¶ During his time with the Audubon Society, Evans continued to undertake many activities both related and unrelated to the society's work. In 1984, he ran unsuccessfully for the House of Representatives from Washington's first congressional district. In the mid 1980's, he helped found and served on the Board of Directors of the Coast Alliance, an organization that tried to influence the government's coastal zone management plans. From 1985 until 1991, Evans was the Washington, D.C. representative of the Federation of Western Outdoor Clubs, and from 1989 to 1991 was on the Board of Directors of the Boundary Waters Wilderness Foundation. The Foundation raised funds and tried to expand the Boundary Waters Wilderness, as well as outlaw the use of motor vehicles for portaging. Throughout much of the 1970's, 1980's, and 1990's, Evans was on the Board of Directors of the League of Conservation voters and chaired its Political Strategy Committee. For the League, Evans helped review and choose political candidates for the group's endorsements. From 1989 to 1994, he was also on the Board of Directors of the Environmental Law Institute, a think tank for members of the American Environmental Bar. Evans also was a board member for RESTORE: The North Woods, a grassroots organization that pushed for forestland protection in the North Woods eco region (a region extending over the northern tier of states from Maine to Minnesota). He also served on the Steering Committee of the Environmental Coalition for North America in the late l980's. Â¶ The overlapping issues of race and the environmental activism surfaced many times during Evans's career. From 1984 to 1991 he was a board member for the Human Environment Center, an organization that tried to bridge the gap between mostly white, middle-class environmentalists, and underprivileged minorities who typically had little involvement in the movement. The Center focused largely on the environmental problems of the cities, especially those that affected mostly poor minority groups, and tried to get minorities more involved in environmental issues. In the early 1990's, the issue of race and environment again took center stage when Evans helped found the Green Wave Movement. The Movement's goal was \""to restore American life and the American continent\"" and creates \""the foundation of a new green society based on the principles of environmental justice and a sustainable economy.\"" However, the group became divided over internal issues, mostly focusing on the homogeneity of its leaders, which critics believed was paradigmatic of the environmental movement as a whole. For Evans, it was a difficult and frustrating experience and he stepped down from the Steering Committee to open a position for someone other than a white male. Â¶ After retiring as Vice-President for the Audubon Society in 1996, Evans remained in Washington, D.C. as a lobbying consultant and in this capacity has continued working for environmental groups. In 1997 Evans became President of the Endangered Species Coalition in Washington, D.C. The Coalition is an association of 450 environmental, scientific, and religious groups dedicated to protecting and strengthening the Endangered Species Act. Â¶ "
0031-001,"Shakespeare Club (Port Gamble, Wash.)",Shakespeare Club records,Maud Walker Ames was Secretary of the Shakespeare Club.
1835-043,"Alexander, Angeline",William R. Seaburg papers,[Biographical Historical Note Needed]
1917-010,"Temple Beth Am (Seattle, Wash.)",Temple Beth Am records,[Biographical Historical Note Needed]
1726-001,"Nelson, Albert",Albert Nelson Jr papers,"Washington pioneer, Yukon prospector."
1827-001,"Hanan, Morris B.",Morris Hanan papers,"Fruit dealer of Seattle Washington.Â¶ Morris Hanan ran a successful fruit dealership in Pike Place Market. He was also active in Seattle's Ashkenazic and Sephardic Jewish communities in Seattle, and involved with Israel. He was associated with American Jewish Joint Distribution committee, congregation Ezra Bessaroth, and Seattle Sephardic Talmud Torah."
1835-022-02,"Kroeber, Paul D.",Paul Kroeber Linguistic papers / Paul D. Kroeber papers,[Biographical Historical Note Needed]
1751-001,"Twight, Ben W., 1933-",Ben W. Twight papers,[Biographical Historical Note Needed]
1852-001,"Chapman, Wilbert McLeod, 1910-1970",Wilbert McLeod Chapman papers,[Biographical Historical Note Needed]
1745-002,"Hartwich, Ethelyn Miller",Ethelyn Miller Hartwich papers,[Biographical Historical Note Needed]
1909-001,"American Federation of Teachers. Local 200 (Seattle, Wash.)","American Federation of Teachers, Local 200 records",[Biographical Historical Note Needed]
1920-025,Pacific Northwest Library Association,Pacific Northwest Library Association records,"The Pacific Northwest Library Association (PNLA) was founded in 1909 during a three day conference at the Alaska-Yukon-Pacific Exposition in Seattle. The original members included librarians from Washington and Oregon, as well as the Provincial Librarian of British Columbia, but the membership grew to include librarians from Idaho, Montana and Utah. The PNLA affiliated with the American Library Association (ALA) in 1914. Among the achievements of the PNLA was the creation of the Subscription Books Bulletin in 1917, which eventually merged with another publication to become the ALA's Booklist. Although experiencing restructuring through the years, the PNLA celebrated its centennial in 2009 and remains the only regional library association to incorporate an international border. Â¶ "
00-039,University of Washington. Trademarks and Licensing Office,"University of Washington, Trademarks and Licensing Office records",The Trademarks and Licensing Office administers the University's licensing program to control the commercial use of the University's name and registered trademarks. Manufacturers of emblematic merchandise must obtain a licensing agreement to secure the rights to print the University's name or identifying marks on their products. The activities of this office fall within the responsibilities of the Vice President for University Relations.
18-036,University of Washington. Libraries. Preservation Services Department,"University of Washington Libraries, Preservation Services Department records","University of Washington Libraries Preservation Services staff manage many programs designed to extend the life of the UW Libraries collections.  These activities can be divided roughly into two categories: Preventive Preservation; and Reformatting, Repair, and Treatment.Â¶ Preventive Preservation focuses on preventing damage to the collections as a whole, including: disaster planning and recovery; environmental monitoring; and collections care, training & outreach.Â¶ Reformatting, Repair, and Treatment focuses on processing, reformatting, treating, and/or repairing items so that they can be used for as long as possible.  Reformatting specifically focuses on reproducing deteriorating collections onto more stable media to preserve their informational content and/or providing greater access to fragile original materials that have restricted handling due to their condition. Because preservation funding is finite, efforts focus on high-use, valuable, and vulnerable materials. Programs include: marking; binding; conservation; preservation replacement & reformatting; digital preservation; and microfilm duplication service.Â¶ Preservation Services opened a new conservation center in 2016."
00-085,University of Washington. President,"University of Washington, President records",[Biographical Historical Note Needed]
1803-006,"Scott, George William, 1937-",George W. Scott papers,[Biographical Historical Note Needed]
1984-001,Mountaineers (Society),Mountaineers (Society),"Outdoor recreation and conservation club.Â¶ The Mountaineers was founded in Seattle, Washington in 1906. The first president was Edmund S. Meany. Standing committees were appointed at that first meeting of the club to take over the work and organization of the two main activities, the local and annual outings. The number of standing committees grew with the increasing membership and interests of the club. Mountain climbing has been one of the major interests. In 1935 climbing classes were organized to teach the fundamentals of Mountaineering. The Mountaineers were the first organized group to develop skiing in the Northwest. Newman, of Evanston, Illinois, visited Seattle in the summer of 1911 and participated in the Mountaineers' Fifth Annual Outing (a walking tour along the Cascade Crest, and a steamboat ride down the Columbia to Vancouver.)"
1883-001,"Hyde, Annie Bucklin",Annie Bucklin Hyde papers,"Pioneer, Bainbridge Island, Washington."
1959-001,"Triem, Eve, 1902-1992",Eve Triem papers,[Biographical Historical Note Needed]
2036-004,"Barksdale, Julian D. (Julian Devreau), 1904-1983",Julian D. Barksdale papers,"Julian Barksdale was born in Texas in 1904. He grew up in Beaumont, site of the first oil well on the Gulf Coast, and came to his academic career via several years' work with oil companies. He attended the University of Texas for two years before going to Stanford to study sedimentary rocks. Barksdale received a B.A. in geology from Stanford in 1930 and then traveled in the service of various oil companies before returning to Stanford for graduate work in petrology. In 1936 he received his Ph.D. from Yale University. Â¶ Viewing teaching as an opportunity to try something different in his life, Barksdale took a position in the University of Washington Dept. of Geology in 1936 and remained at the university until his retirement in 1973. He taught graduate and undergraduate courses in addition to leading and organizing fieldwork seminars. From 1969 to 1973, he served as an undergraduate advisor for the department. Â¶ Barksdale became the head of the University of Washington Honors Program in 1964. He was active on committees of the Faculty Senate, serving as its president 1960-1961, and he also served on the Faculty Council on Academic Standards, the Library Advisory Committee, and a variety of committees in the College of Arts and Sciences. Â¶ After his retirement, Barksdale became involved with retiree and senior citizen's organizations, including the University of Washington Retirement Association, the Coalition of Retired and Higher Education Employees, and the Senior Citizen's Lobby. He died in 1983. Â¶ "
2024-006,"Edmondson, W. T. (Walles Thomas), 1916-2000",W. T. Edmondson papers,"Walles Thomas Edmondson was born in 1916 in Milwaukee Wisconsin. He attended Yale University and the University of Wisconsin. In 1942, Edmondson earned a PhD in Zoology from Yale University. He was a research association at Woods Hole from 1943 to 1946 and a lecturer in Biology at Harvard from 1946 to 1949. In 1949, Edmondson joined the Zoology Department faculty at the University of Washington where he remained until retirement. He died in 1999. His research interests focussed on lake productivity, eutrophication, comparative limnology, ecology and taxonomy of Rotifera and population dynamics of zooplankton. His book entitled The Uses of Ecology: Lake Washington and Beyond documents the recovery of Lake Washington. Â¶ "
1729-016,Washington Environmental Council,Washington Environmental Council minutes,"The Washington Environmental Council (WEC) was founded in 1967 as an umbrella organization by and for the state of Washington's leading conservation groups. Through its mission \""to protect, restore, and sustain Washington's environment for all,\"" the organization has served as a coordinating body on issues of statewide significance. Among other achievements, the WEC has worked to enforce and pass the State Environmental Policy Act, the State Superfund Law, the Growth Management Act, and the Shoreline Management Act. It also operates the Environmental Priorities Coalition and the Voter Education Program. Throughout its history, the organization has also focused on other issues related to carbon pollution, clean energy, water pollution, forests, and public lands.Â¶ In 1986 and 1987, the WEC was heavily involved with the Timber, Fish, and Wildlife Implementation Project, which was the result of negotiations between the timber industry, the four natural resource agencies in Washington State, Indian tribes, and environmentalists. The Project is a cooperative plan for managing forest harvest practices on both state and private timberlands. Marcy Golde was involved with the negotiations, while Lisa Lombardy served as the WEC's statewide coordinator. Other WEC staff, through private funding, monitored timber harvest applications.Â¶ Another major legal case in which the WEC was involved concerned Washington State rules that imposed requirements on the design, equipment, reporting, and operations of oil tankers. Washington State, with the help of the WEC, defeated the trade association Intertanko, which represented operators of oil tanker ships. In 2000, however, the U.S. Supreme Court reversed the decision on the basis that federal law pre-empts state rules. Â¶ "
18-004,University of Washington. Campus Art Collection Committee,University of Washington Campus Art Collection Committee records,"This committee was established by the President's Office in 1969, with Vice President and Provost Solomon Katz as Chairman and Richard Berner as Secretary and ex-officio member. Berner directed the survey. Steven B. Higgins did the survey work and photography. Administrative correspondence was retained by Katz for the remaining duration of his chairmanship."
2012-008,"Kazama, Donald D., 1915-1986",Donald Kazama papers,"Donald Kazama was born in 1915. He worked for the United States Veterans Administration from 1950 until his retirement in 1976. He was married to Sally Kazama (nee Shimanaka) who was also a social worker. Aside from his professional work, Kazama was involved in many civic activities. Grouped into broad categories reflecting his primary interests, these were the elderly, elderly Asian-Americans, Japanese-Americans, general civic concerns, and personal/professional concerns. Some of the organization were the Japanese-American Citizens League, Central Seattle Community Council, Asian-American Alliance, Seattle Department of Human Rights, Seattle Model Cities Program, Council of Planning Affiliates, Coalition for Quality Integrated Integrated Education, Seattle-King County Aging Division, Seattle-King County Planning Council on Aging, among others. Also among the groups he was associated with was the State-Wide Task Force on Life Support. This group advises and monitors policies regarding treatment of terminally ill patients and death-with-dignity rulings. He died in 1986. Â¶ "
1822-007,"League of Women Voters of Lake Washington East (Bellevue, Wash.)","League of Women Voters of Lake Washington East (Bellevue, Wash.) records","Civic organization, Lake Washington East league.Â¶ This league of the League of Women Voters was established in 1952-1953. During 1953 it was first called LWV. Bellevue Provisional. In 1954 it became LWV. Bellevue. About 1964 the name was changed to LWV. Lake Washington East."
0087-001,"Drumheller, Jesse",Jesse Drumheller papers,"Pioneer, farmer, Walla Walla, Washington."
1740-021,Alpine Lakes Protection Society (Wash.),"Alpine Lakes Protection Society records, James Chapman materials","The Alpine Lakes Protection Society of Washington was a citizens' conservation organization. Founded in 1968, it promoted congressional enactment of a national recreation area in the Cascade Mountains of north central Washington. It had chapters in Seattle, Wenatchee, Ellensburg, and briefly in Yakima. Besides seeking statutory protection for the area, the Alpine Lakes Protection Society of Washington worked to forestall extractive uses likely to affect the wilderness quality of the Alpine Lakes region. In June 1976 Congress passed the Alpine Lakes Management Act of 1976, which established the Alpine Lakes Wilderness. "
01-089,Odegaard Undergraduate Library,Odegaard Undergraduate Library records,"The Charles E. Odegaard Undergraduate Library (OUGL) houses secondary stacks, a learning commons and on-campus technology resources for students, primarily undergraduates, of the University of Washington in Seattle, Washington. Named after the 19th president of the university, it opened in 1972, replacing the small undergraduate library previously located at Suzzallo Library.[1] The library fronts the northwest corner of Red Square and provides access to the parking garage below the plaza, which was built simultaneous with the library building. In addition to library space, the building includes a cafeteria and newsstand on the ground floor.Â¶ The Odegaard Undergraduate Library was renovated from June 18, 2012, to June 24, 2013. The library's renovation architects were recently awarded the 2014 American Institute of Architects' Institute Honor Awards for Interior Architecture.Â¶ Taken from the Wikipedia entry for \""Odegaard Undergraduate Library.\"" Accessed 29 September 2016."
19-008,University of Washington. Office of Ceremonies,University of Washington Office of Ceremonies records,[Biographical Historical Note Needed]
